State,Percentage of Pell Grantees,Median Federal Debt for All Students,Median Federal Debt of Pell Grantees,Nonrepayment Rate for Pell Students,Nonrepayment Rate for All Students,"Average Cost for Low-Income Students, Per Year",Default Rate for All Students,"Percentage of All Students Earning $25K or Less Per Year, 10 Years After Enrolling"
University of Northern Colorado,0.339,22500,16750,0.414,0.345,13998,0.049,0.217
University of Notre Dame,0.112,21250,19306,0.114,0.079,9048,0.006,0.251
University of Oklahoma-Norman Campus,0.242,19500,16500,0.382,0.300,12803,0.038,0.089
University of Oregon,0.254,21500,19500,0.474,0.391,12083,0.046,0.189
University of Pennsylvania,0.144,21500,18282,0.189,0.135,7636,0.011,0.243
University of Pittsburgh-Pittsburgh Campus,0.166,26814,24400,0.339,0.244,21233,0.043,0.107
University of Rhode Island,0.273,23250,20000,0.451,0.311,11895,0.052,0.172
University of Rochester,0.177,25000,26750,0.331,0.221,13995,0.020,0.196
University of San Diego,0.179,22750,23525,0.331,0.234,22214,0.015,0.152
University of San Francisco,0.261,25000,23500,0.361,0.300,22694,0.027,0.150
University of South Alabama,0.391,24711,15441,0.650,0.568,10927,0.075,0.161
University of South Carolina-Columbia,0.228,23000,21500,0.400,0.309,16496,0.041,0.299
University of South Dakota,0.275,24250,18000,0.372,0.305,12819,0.065,0.207
University of South Florida-Main Campus,0.419,19500,18000,0.491,0.438,6735,0.053,0.221
University of Southern California,0.234,21500,22500,0.241,0.193,15013,0.012,0.229
University of Southern Mississippi,0.487,25000,17850,0.570,0.525,11904,0.110,0.144
University of St Thomas,0.192,26723,25880,0.256,0.173,21037,0.021,0.281
University of the Cumberlands,0.408,16383,8816,0.520,0.455,15327,0.062,0.117
University of the Pacific,0.399,23370,24000,0.381,0.318,23835,0.033,0.380
University of Toledo,0.360,24000,15250,0.650,0.544,12426,0.107,0.138
University of Tulsa,0.151,26000,24250,0.365,0.268,22426,0.041,0.249
University of Utah,0.309,15000,14500,0.315,0.288,11640,0.032,0.225
University of Vermont,0.184,21615,19928,0.191,0.154,10742,0.037,0.204
University of Virginia-Main Campus,0.126,19633,15012,0.221,0.149,9615,0.017,0.215
University of Washington-Seattle Campus,0.254,15797,14763,0.273,0.243,7054,0.027,0.134
University of West Georgia,0.506,24250,16404,0.622,0.552,12581,0.088,0.160
University of Wisconsin-Madison,0.152,22805,23849,0.206,0.156,9235,0.015,0.279
University of Wisconsin-Milwaukee,0.357,25000,18500,0.465,0.371,12135,0.056,0.141
University of Wyoming,0.237,18750,14478,0.311,0.263,7886,0.042,0.219
Utah State University,0.363,13000,9108,0.285,0.269,10895,0.050,0.225
Valdosta State University,0.469,25247,18500,0.655,0.569,11900,0.086,0.278
Vanderbilt University,0.143,13000,8945,0.207,0.157,6905,0.014,0.266
Villanova University,0.115,26352,27000,0.177,0.104,21862,0.011,0.123
Virginia Commonwealth University,0.286,24151,21500,0.529,0.445,15187,0.045,0.080
Virginia Polytechnic Institute and State University,0.174,24250,23500,0.286,0.200,12446,0.021,0.233
Wake Forest University,0.108,22320,28901,0.213,0.127,13603,0.012,0.117
Washington State University,0.338,20500,15750,0.320,0.267,10296,0.033,0.116
Washington University in St Louis,0.067,20500,17500,0.215,0.130,11100,0.014,0.193
Wayne State University,0.479,21393,18448,0.680,0.619,9909,0.090,0.115
West Virginia University,0.258,23969,15046,0.506,0.409,7033,0.085,0.277
Western Michigan University,0.386,26587,23294,0.524,0.439,12464,0.061,0.230
Wichita State University,0.364,21000,16378,0.525,0.446,11945,0.066,0.219
Widener University-Main Campus,0.273,28000,24751,0.472,0.339,23467,0.046,0.272
Wilmington University,0.332,17864,13835,0.688,0.590,14296,0.077,0.163
Worcester Polytechnic Institute,0.147,27000,28250,0.127,0.079,25377,0.022,0.219
Wright State University-Main Campus,0.379,25000,17000,0.583,0.486,11908,0.104,0.075
Yale University,0.119,13774,10900,0.158,0.123,3918,0.006,0.256
Yeshiva University,0.188,19000,17250,0.239,0.207,20333,0.017,0.127
,,,,,,,,0.241
